date,usd_rub,source,source_url
2024-01-10,90.404,Central Bank of Russia,https://www.cbr.ru/scripts/XML_dynamic.asp?date_req1=01/01/2024&date_req2=31/12/2024&VAL_NM_RQ=R01235
2024-01-11,89.3939,Central Bank of Russia,https://www.cbr.ru/scripts/XML_dynamic.asp?date_req1=01/01/2024&date_req2=31/12/2024&VAL_NM_RQ=R01235
2024-01-12,88.7818,Central Bank of Russia,https://www.cbr.ru/scripts/XML_dynamic.asp?date_req1=01/01/2024&date_req2=31/12/2024&VAL_NM_RQ=R01235
2024-01-13,88.1324,Central Bank of Russia,https://www.cbr.ru/scripts/XML_dynamic.asp?date_req1=01/01/2024&date_req2=31/12/2024&VAL_NM_RQ=R01235
2024-01-16,87.6772,Central Bank of Russia,https://www.cbr.ru/scripts/XML_dynamic.asp?date_req1=01/01/2024&date_req2=31/12/2024&VAL_NM_RQ=R01235
2024-01-17,87.6457,Central Bank of Russia,https://www.cbr.ru/scripts/XML_dynamic.asp?date_req1=01/01/2024&date_req2=31/12/2024&VAL_NM_RQ=R01235
2024-01-18,88.354,Central Bank of Russia,https://www.cbr.ru/scripts/XML_dynamic.asp?date_req1=01/01/2024&date_req2=31/12/2024&VAL_NM_RQ=R01235
2024-01-19,88.661,Central Bank of Russia,https://www.cbr.ru/scripts/XML_dynamic.asp?date_req1=01/01/2024&date_req2=31/12/2024&VAL_NM_RQ=R01235
2024-01-20,88.5896,Central Bank of Russia,https://www.cbr.ru/scripts/XML_dynamic.asp?date_req1=01/01/2024&date_req2=31/12/2024&VAL_NM_RQ=R01235
2024-01-23,87.9724,Central Bank of Russia,https://www.cbr.ru/scripts/XML_dynamic.asp?date_req1=01/01/2024&date_req2=31/12/2024&VAL_NM_RQ=R01235
2024-01-24,87.9199,Central Bank of Russia,https://www.cbr.ru/scripts/XML_dynamic.asp?date_req1=01/01/2024&date_req2=31/12/2024&VAL_NM_RQ=R01235
2024-01-25,88.2829,Central Bank of Russia,https://www.cbr.ru/scripts/XML_dynamic.asp?date_req1=01/01/2024&date_req2=31/12/2024&VAL_NM_RQ=R01235
2024-01-26,88.6562,Central Bank of Russia,https://www.cbr.ru/scripts/XML_dynamic.asp?date_req1=01/01/2024&date_req2=31/12/2024&VAL_NM_RQ=R01235
